"compartment","state","gene","donors","samples","cells","mean_expression","pct_expressing","aggregation","mean_expression_z"
"Fibroblast/pericyte","CD74hi HLADRB1hi arterial pericyte","IL1B",17,31,2801,0.00758176640095059,0.00559723733512235,"Sample-first; samples equal-weighted",-0.358427342117246
"Fibroblast/pericyte","CD74hi HLADRB1hi arterial pericyte","IL6",17,31,2801,0.282654035179206,0.132160405927098,"Sample-first; samples equal-weighted",0.321900230151886
"Fibroblast/pericyte","CD74hi HLADRB1hi arterial pericyte","CXCL10",17,31,2801,0.357286166731004,0.0514151367042246,"Sample-first; samples equal-weighted",-0.149896360327896
"Fibroblast/pericyte","CD74hi HLADRB1hi arterial pericyte","CCL2",17,31,2801,2.66225914331586,0.466685432882448,"Sample-first; samples equal-weighted",0.0337044877293973
"Fibroblast/pericyte","CD74hi HLADRB1hi arterial pericyte","NFKB1",17,31,2801,0.566408303867639,0.360891481392317,"Sample-first; samples equal-weighted",0.346240285649965
"Fibroblast/pericyte","CD74hi HLADRB1hi arterial pericyte","PLAUR",17,31,2801,0.19257054171844,0.144076027541625,"Sample-first; samples equal-weighted",-0.537299839287362
"Fibroblast/pericyte","CD74hi HLADRB1hi arterial pericyte","ICAM1",17,31,2801,3.37215964093634,0.670266065130892,"Sample-first; samples equal-weighted",1.70723243931687
"Fibroblast/pericyte","CD74hi HLADRB1hi arterial pericyte","CXCL8",17,31,2801,0.109921467492854,0.0379331377540715,"Sample-first; samples equal-weighted",-0.488688778077518
"Fibroblast/pericyte","CD74hi HLADRB1hi arterial pericyte","OSM",17,31,2801,0.0015261508373928,0.0012129657450032,"Sample-first; samples equal-weighted",-0.359119709408411
"Fibroblast/pericyte","CD74hi HLADRB1hi venous pericyte","IL1B",2,3,79,0.00980392156862745,0.00980392156862745,"Sample-first; samples equal-weighted",-0.358030205069805
"Fibroblast/pericyte","CD74hi HLADRB1hi venous pericyte","IL6",2,3,79,0.687908496732026,0.225606909430439,"Sample-first; samples equal-weighted",1.64251905006731
"Fibroblast/pericyte","CD74hi HLADRB1hi venous pericyte","CXCL10",2,3,79,0.716269841269841,0.0892857142857143,"Sample-first; samples equal-weighted",0.34379820765258
"Fibroblast/pericyte","CD74hi HLADRB1hi venous pericyte","CCL2",2,3,79,8.74183006535948,0.699463118580766,"Sample-first; samples equal-weighted",1.57987482738131
"Fibroblast/pericyte","CD74hi HLADRB1hi venous pericyte","NFKB1",2,3,79,0.589869281045752,0.390989729225023,"Sample-first; samples equal-weighted",0.431296882411737
