"panel","cohort","mechanism","endpoint","arm","score","estimand","n","events","non_events","log_odds","odds_ratio","ci_lower","ci_upper","p_value","cohort_short","Inflammation_z","probability","p_nonlinearity","linear_AIC","spline_AIC","delta_AIC","minus_log10_p","omitted","k","tau2","I2","label","group","model","module"
"b_cohort_spline_predictions","GSE16879 IFX","anti-TNF",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00331037661340402,1,NA,"IFX · 16879",-1.37174221420376,0.999999960184152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_cohort_spline_predictions","GSE16879 IFX","anti-TNF",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00539008209324579,1,NA,"IFX · 16879",-1.33939322467848,0.999999815870816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_cohort_spline_predictions","GSE16879 IFX","anti-TNF",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00864507355002317,0.999999999999994,NA,"IFX · 16879",-1.3070442351532,0.999999181390059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_cohort_spline_predictions","GSE16879 IFX","anti-TNF",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0136353812315317,0.999999999999831,NA,"IFX · 16879",-1.27469524562792,0.999996508181902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_cohort_spline_predictions","GSE16879 IFX","anti-TNF",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0211049827295117,0.999999999995615,NA,"IFX · 16879",-1.24234625610264,0.999985738114487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_cohort_spline_predictions","GSE16879 IFX","anti-TNF",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0319732290383745,0.999999999897647,NA,"IFX · 16879",-1.20999726657736,0.999944335747058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_cohort_spline_predictions","GSE16879 IFX","anti-TNF",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0472547812024059,0.999999997870164,NA,"IFX · 16879",-1.17764827705208,0.999792819651898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_cohort_spline_predictions","GSE16879 IFX","anti-TNF",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0678533306656637,0.999999960758337,NA,"IFX · 16879",-1.1452992875268,0.999266311864712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_cohort_spline_predictions","GSE16879 IFX","anti-TNF",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0941652151578553,0.999999365167879,NA,"IFX · 16879",-1.11295029800152,0.997534886485177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_cohort_spline_predictions","GSE16879 IFX","anti-TNF",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.125429677557846,0.999991083044937,NA,"IFX · 16879",-1.08060130847624,0.992176584184826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_cohort_spline_predictions","GSE16879 IFX","anti-TNF",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.158738737600139,0.999893088586351,NA,"IFX · 16879",-1.04825231895096,0.976748969851906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_cohort_spline_predictions","GSE16879 IFX","anti-TNF",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18744991737959,0.998938869544833,NA,"IFX · 16879",-1.01590332942568,0.936454601951147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_cohort_spline_predictions","GSE16879 IFX","anti-TNF",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.198409180388962,0.99184241273011,NA,"IFX · 16879",-0.9835543399004,0.845818522285886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_cohort_spline_predictions","GSE16879 IFX","anti-TNF",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.170112266762893,0.958335657152023,NA,"IFX · 16879",-0.95120535037512,0.684679291442169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_cohort_spline_predictions","GSE16879 IFX","anti-TNF",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0969303647265083,0.886512908111334,NA,"IFX · 16879",-0.918856360849841,0.47798920341663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_cohort_spline_predictions","GSE16879 IFX","anti-TNF",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0337253543207233,0.8295973932215,NA,"IFX · 16879",-0.886507371324561,0.29189240425962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_cohort_spline_predictions","GSE16879 IFX","anti-TNF",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00900142416841987,0.812658652638621,NA,"IFX · 16879",-0.854158381799281,0.165622375609457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_cohort_spline_predictions","GSE16879 IFX","anti-TNF",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00232471321253779,0.818323970232898,NA,"IFX · 16879",-0.821809392274001,0.0929278207640154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_cohort_spline_predictions","GSE16879 IFX","anti-TNF",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000648506486963601,0.832468066628883,NA,"IFX · 16879",-0.789460402748721,0.0537336587850112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_cohort_spline_predictions","GSE16879 IFX","anti-TNF",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00020483298059759,0.848468336327268,NA,"IFX · 16879",-0.757111413223441,0.0327600660459542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_cohort_spline_predictions","GSE16879 IFX","anti-TNF",NA,NA,NA,NA,NA,NA,NA,NA,NA,7.49660763949556e-05,0.863548748588938,NA,"IFX · 16879",-0.724762423698161,0.0213179270218058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_cohort_spline_predictions","GSE16879 IFX","anti-TNF",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.22234459851395e-05,0.876670763825995,NA,"IFX · 16879",-0.692413434172881,0.0149092051316751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_cohort_spline_predictions","GSE16879 IFX","anti-TNF",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.64166075588262e-05,0.887568434492728,NA,"IFX · 16879",-0.660064444647602,0.0112560472825285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_cohort_spline_predictions","GSE16879 IFX","anti-TNF",NA,NA,NA,NA,NA,NA,NA,NA,NA,9.98084675419565e-06,0.89630792640957,NA,"IFX · 16879",-0.627715455122322,0.00920293619039026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_cohort_spline_predictions","GSE16879 IFX","anti-TNF",NA,NA,NA,NA,NA,NA,NA,NA,NA,7.28091548093262e-06,0.903085232963269,NA,"IFX · 16879",-0.595366465597042,0.00816961101834813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_cohort_spline_predictions","GSE16879 IFX","anti-TNF",NA,NA,NA,NA,NA,NA,NA,NA,NA,6.40107815487556e-06,0.908137918158214,NA,"IFX · 16879",-0.563017476071762,0.00789213689128681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_cohort_spline_predictions","GSE16879 IFX","anti-TNF",NA,NA,NA,NA,NA,NA,NA,NA,NA,6.79670770941462e-06,0.911723161653924,NA,"IFX · 16879",-0.530668486546482,0.00830874375750597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_cohort_spline_predictions","GSE16879 IFX","anti-TNF",NA,NA,NA,NA,NA,NA,NA,NA,NA,8.61292200988074e-06,0.914175440873788,NA,"IFX · 16879",-0.498319497021202,0.0094873763078665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_cohort_spline_predictions","GSE16879 IFX","anti-TNF",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.27656782661428e-05,0.915862557491453,NA,"IFX · 16879",-0.465970507495922,0.0116507969814322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_cohort_spline_predictions","GSE16879 IFX","anti-TNF",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.16702809867325e-05,0.917162184133058,NA,"IFX · 16879",-0.433621517970642,0.0152535230573067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_cohort_spline_predictions","GSE16879 IFX","anti-TNF",NA,NA,NA,NA,NA,NA,NA,NA,NA,4.12220643246333e-05,0.918487095733709,NA,"IFX · 16879",-0.401272528445363,0.0210977666759213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_cohort_spline_predictions","GSE16879 IFX","anti-TNF",NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5880581035215e-05,0.920302490816205,NA,"IFX · 16879",-0.368923538920083,0.0305311334691149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_cohort_spline_predictions","GSE16879 IFX","anti-TNF",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00019126200061574,0.923124138880585,NA,"IFX · 16879",-0.336574549394803,0.0457361307527921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_cohort_spline_predictions","GSE16879 IFX","anti-TNF",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000443678079496967,0.927479566315069,NA,"IFX · 16879",-0.304225559869523,0.0700655696699436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_cohort_spline_predictions","GSE16879 IFX","anti-TNF",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00104255645646647,0.93380811858291,NA,"IFX · 16879",-0.271876570344243,0.108209546369818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_cohort_spline_predictions","GSE16879 IFX","anti-TNF",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00240869132373391,0.942282674556289,NA,"IFX · 16879",-0.239527580818963,0.165652730429039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_cohort_spline_predictions","GSE16879 IFX","anti-TNF",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00530562479478918,0.952583212374818,NA,"IFX · 16879",-0.207178591293683,0.246617701371078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_cohort_spline_predictions","GSE16879 IFX","anti-TNF",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0108208417369844,0.963760022259611,NA,"IFX · 16879",-0.174829601768403,0.350381894818608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_cohort_spline_predictions","GSE16879 IFX","anti-TNF",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0199663013953836,0.974412452117832,NA,"IFX · 16879",-0.142480612243123,0.46831598891902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_cohort_spline_predictions","GSE16879 IFX","anti-TNF",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0329382706527478,0.983248182375452,NA,"IFX · 16879",-0.110131622717844,0.585735543917355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_cohort_spline_predictions","GSE16879 IFX","anti-TNF",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.048680869088512,0.989655750440247,NA,"IFX · 16879",-0.0777826331925637,0.688728466208109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_cohort_spline_predictions","GSE16879 IFX","anti-TNF",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0653365564340428,0.993801274822432,NA,"IFX · 16879",-0.045433643667284,0.769994367032997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_cohort_spline_predictions","GSE16879 IFX","anti-TNF",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0811851572520901,0.9962682257981,NA,"IFX · 16879",-0.013084654142004,0.829259783988016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_cohort_spline_predictions","GSE16879 IFX","anti-TNF",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0952426474197954,0.997661098915756,NA,"IFX · 16879",0.0192643353832758,0.870145600487004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_cohort_spline_predictions","GSE16879 IFX","anti-TNF",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.107281123922498,0.998421943268451,NA,"IFX · 16879",0.0516133249085557,0.897115848985007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_cohort_spline_predictions","GSE16879 IFX","anti-TNF",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.117550135164573,0.998818857023674,NA,"IFX · 16879",0.0839623144338355,0.913893323292624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_cohort_spline_predictions","GSE16879 IFX","anti-TNF",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.126474200724253,0.998992958642811,NA,"IFX · 16879",0.116311303959115,0.92298521942124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_cohort_spline_predictions","GSE16879 IFX","anti-TNF",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.134415216448961,0.99899927922234,NA,"IFX · 16879",0.148660293484395,0.92565470758595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_cohort_spline_predictions","GSE16879 IFX","anti-TNF",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.141465613849848,0.99881860765119,NA,"IFX · 16879",0.181009283009675,0.921893376766361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_cohort_spline_predictions","GSE16879 IFX","anti-TNF",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.147181836901509,0.998319559180293,NA,"IFX · 16879",0.213358272534955,0.910117452109214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_cohort_spline_predictions","GSE16879 IFX","anti-TNF",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.150123536768275,0.997102341662396,NA,"IFX · 16879",0.245707262060235,0.886316818789407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_cohort_spline_predictions","GSE16879 IFX","anti-TNF",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.147035364191832,0.993998668326051,NA,"IFX · 16879",0.278056251585515,0.842354852425854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_cohort_spline_predictions","GSE16879 IFX","anti-TNF",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.131832990635453,0.985679338553574,NA,"IFX · 16879",0.310405241110795,0.763757185242741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_cohort_spline_predictions","GSE16879 IFX","anti-TNF",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0971451777802659,0.964611841840958,NA,"IFX · 16879",0.342754230636074,0.631346265119138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_cohort_spline_predictions","GSE16879 IFX","anti-TNF",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0478180783142602,0.925129130178945,NA,"IFX · 16879",0.375103220161355,0.440633371480732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_cohort_spline_predictions","GSE16879 IFX","anti-TNF",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0125266840198782,0.884729617238535,NA,"IFX · 16879",0.407452209686634,0.237824576924922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_cohort_spline_predictions","GSE16879 IFX","anti-TNF",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00167448721578759,0.869179351339725,NA,"IFX · 16879",0.439801199211914,0.0954853987718451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_cohort_spline_predictions","GSE16879 IFX","anti-TNF",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000125337840859111,0.879527530307765,NA,"IFX · 16879",0.472150188737194,0.0293633643814264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_cohort_spline_predictions","GSE16879 IFX","anti-TNF",NA,NA,NA,NA,NA,NA,NA,NA,NA,5.64560211526537e-06,0.9037958278521,NA,"IFX · 16879",0.504499178262474,0.00723008131301938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_cohort_spline_predictions","GSE16879 IFX","anti-TNF",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.57648285612107e-07,0.931198612529201,NA,"IFX · 16879",0.536848167787754,0.00145859023639692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_cohort_spline_predictions","GSE16879 IFX","anti-TNF",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.74636990253909e-09,0.95523722069704,NA,"IFX · 16879",0.569197157313034,0.000242031273962892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_cohort_spline_predictions","GSE16879 IFX","anti-TNF",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.96926506667024e-11,0.973268873322173,NA,"IFX · 16879",0.601546146838313,3.2878953813531e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_cohort_spline_predictions","GSE16879 IFX","anti-TNF",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.97037160587335e-13,0.985262873312266,NA,"IFX · 16879",0.633895136363594,3.62946108693392e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_cohort_spline_predictions","GSE16879 IFX","anti-TNF",NA,NA,NA,NA,NA,NA,NA,NA,NA,7.94867808848793e-16,0.992466983040496,NA,"IFX · 16879",0.666244125888873,3.23609211471697e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_cohort_spline_predictions","GSE16879 IFX","anti-TNF",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.97517570107876e-18,0.996410794853649,NA,"IFX · 16879",0.698593115414153,2.3416550964543e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_cohort_spline_predictions","GSE16879 IFX","anti-TNF",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.08604339678442e-21,0.998397604475303,NA,"IFX · 16879",0.730942104939433,1.38665338877641e-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_cohort_spline_predictions","GSE16879 IFX","anti-TNF",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.09346300731283e-24,0.999326710563586,NA,"IFX · 16879",0.763291094464713,6.77602985683489e-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_cohort_spline_predictions","GSE16879 IFX","anti-TNF",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.02943937601929e-27,0.999732741792026,NA,"IFX · 16879",0.795640083989993,2.75527196381272e-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_cohort_spline_predictions","GSE16879 IFX","anti-TNF",NA,NA,NA,NA,NA,NA,NA,NA,NA,8.88689114105201e-31,0.999899446621269,NA,"IFX · 16879",0.827989073515273,9.40058239171938e-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_cohort_spline_predictions","GSE16879 IFX","anti-TNF",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.64884591037979e-34,0.999964032519385,NA,"IFX · 16879",0.860338063040553,2.71372307849538e-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_cohort_spline_predictions","GSE16879 IFX","anti-TNF",NA,NA,NA,NA,NA,NA,NA,NA,NA,5.47948640501881e-38,0.999987734019741,NA,"IFX · 16879",0.892687052565833,6.68368744866101e-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_cohort_spline_predictions","GSE16879 IFX","anti-TNF",NA,NA,NA,NA,NA,NA,NA,NA,NA,8.0206111962992e-42,0.999996000977314,NA,"IFX · 16879",0.925036042091112,1.41620436876136e-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_cohort_spline_predictions","GSE16879 IFX","anti-TNF",NA,NA,NA,NA,NA,NA,NA,NA,NA,8.46917667890142e-46,0.999998750281786,NA,"IFX · 16879",0.957385031616392,2.60324039883803e-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_cohort_spline_predictions","GSE16879 IFX","anti-TNF",NA,NA,NA,NA,NA,NA,NA,NA,NA,6.57661710910099e-50,0.999999624680314,NA,"IFX · 16879",0.989734021141672,4.1860125410529e-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_cohort_spline_predictions","GSE16879 IFX","anti-TNF",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.82857857096588e-54,0.999999891400094,NA,"IFX · 16879",1.02208301066695,5.9375056385666e-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
