"gene_set","gene_symbol"
"IL6JAKSTAT3","CD14"
"IL6JAKSTAT3","CD36"
"IL6JAKSTAT3","CD38"
"IL6JAKSTAT3","CD44"
"IL6JAKSTAT3","CD9"
"IL6JAKSTAT3","CNTFR"
"IL6JAKSTAT3","CRLF2"
"IL6JAKSTAT3","CSF1"
"IL6JAKSTAT3","CSF2"
"IL6JAKSTAT3","CSF2RA"
"IL6JAKSTAT3","CSF2RB"
"IL6JAKSTAT3","CSF3R"
"IL6JAKSTAT3","CXCL1"
"IL6JAKSTAT3","CXCL10"
"IL6JAKSTAT3","CXCL11"
"IL6JAKSTAT3","CXCL13"
"IL6JAKSTAT3","CXCL3"
"IL6JAKSTAT3","CXCL9"
"IL6JAKSTAT3","DNTT"
"IL6JAKSTAT3","EBI3"
"IL6JAKSTAT3","FAS"
"IL6JAKSTAT3","GRB2"
"IL6JAKSTAT3","HAX1"
"IL6JAKSTAT3","HMOX1"
"IL6JAKSTAT3","IFNAR1"
"IL6JAKSTAT3","IFNGR1"
"IL6JAKSTAT3","IFNGR2"
"IL6JAKSTAT3","IL10RB"
"IL6JAKSTAT3","IL12RB1"
"IL6JAKSTAT3","IL13RA1"
"IL6JAKSTAT3","IL15RA"
"IL6JAKSTAT3","IL17RA"
"IL6JAKSTAT3","IL17RB"
"IL6JAKSTAT3","IL18R1"
"IL6JAKSTAT3","IL1B"
"IL6JAKSTAT3","IL1R1"
"IL6JAKSTAT3","IL1R2"
"IL6JAKSTAT3","IL2RA"
"IL6JAKSTAT3","IL2RG"
"IL6JAKSTAT3","IL3RA"
"IL6JAKSTAT3","IL4R"
"IL6JAKSTAT3","IL6"
"IL6JAKSTAT3","IL6ST"
"IL6JAKSTAT3","IL7"
"IL6JAKSTAT3","IL9R"
"IL6JAKSTAT3","INHBE"
"IL6JAKSTAT3","IRF1"
"IL6JAKSTAT3","IRF9"
"IL6JAKSTAT3","ITGA4"
"IL6JAKSTAT3","ITGB3"
"IL6JAKSTAT3","JUN"
"IL6JAKSTAT3","LEPR"
"IL6JAKSTAT3","LTB"
"IL6JAKSTAT3","LTBR"
"IL6JAKSTAT3","MAP3K8"
"IL6JAKSTAT3","MYD88"
"IL6JAKSTAT3","OSMR"
